 #written on 10Jan2023 at 21:58:39 
 #------------------------------------------------- MONTECARLO -------------------------------------------------#
 # Temp      Magnetization     Energy_ave          C_M              Sus              U_E              U_M       #
 #--------------------------------------------------------------------------------------------------------------#
   2.0197   0.41432205E+00  -0.11662083E+01   0.12076645E+01   0.33271132E+00   0.66186934E+00   0.66152262E+00
   1.9692   0.43505812E+00  -0.12289770E+01   0.12443521E+01   0.31340052E+00   0.66243617E+00   0.66236807E+00
   1.9187   0.45474064E+00  -0.12906741E+01   0.12517300E+01   0.29852071E+00   0.66299583E+00   0.66300892E+00
   1.8682   0.47560912E+00  -0.13578802E+01   0.13495355E+01   0.28703468E+00   0.66327920E+00   0.66354595E+00
   1.8177   0.49707366E+00  -0.14273223E+01   0.13841110E+01   0.28078828E+00   0.66369251E+00   0.66394338E+00
   1.7672   0.51805881E+00  -0.14994695E+01   0.14183603E+01   0.26359513E+00   0.66404695E+00   0.66436912E+00
   1.7167   0.53945330E+00  -0.15723643E+01   0.14562195E+01   0.24081524E+00   0.66436224E+00   0.66478515E+00
   1.6662   0.56029097E+00  -0.16475756E+01   0.14471373E+01   0.22364677E+00   0.66470111E+00   0.66509330E+00
   1.6157   0.58002081E+00  -0.17195484E+01   0.15750015E+01   0.22334938E+00   0.66482361E+00   0.66524516E+00
   1.5652   0.60050283E+00  -0.17958890E+01   0.15081382E+01   0.19695486E+00   0.66514331E+00   0.66553282E+00
   1.5146   0.61978642E+00  -0.18703133E+01   0.15072948E+01   0.18317028E+00   0.66535370E+00   0.66570806E+00
   1.4641   0.63880049E+00  -0.19451479E+01   0.14349911E+01   0.16156835E+00   0.66558747E+00   0.66589866E+00
   1.4136   0.65629876E+00  -0.20154393E+01   0.13974128E+01   0.15033018E+00   0.66575368E+00   0.66601245E+00
   1.3631   0.67420028E+00  -0.20883513E+01   0.14530383E+01   0.14357848E+00   0.66584528E+00   0.66609534E+00
   1.3126   0.69120569E+00  -0.21605688E+01   0.13363838E+01   0.12258540E+00   0.66600993E+00   0.66621870E+00
   1.2621   0.70772434E+00  -0.22303896E+01   0.13680042E+01   0.11627716E+00   0.66608397E+00   0.66627718E+00
   1.2116   0.72290523E+00  -0.22973153E+01   0.13318186E+01   0.10610136E+00   0.66617370E+00   0.66633929E+00
   1.1611   0.73885052E+00  -0.23668793E+01   0.12820443E+01   0.94222266E-01   0.66625585E+00   0.66640003E+00
   1.1106   0.75290084E+00  -0.24306432E+01   0.12750796E+01   0.88720653E-01   0.66631170E+00   0.66643514E+00
   1.0601   0.76701686E+00  -0.24942247E+01   0.13144355E+01   0.85700654E-01   0.66635088E+00   0.66646134E+00
   1.0096   0.78125986E+00  -0.25594739E+01   0.12483551E+01   0.75481411E-01   0.66640822E+00   0.66650052E+00
   0.9591   0.79459868E+00  -0.26218378E+01   0.12135649E+01   0.68358176E-01   0.66645034E+00   0.66652843E+00
   0.9086   0.80736423E+00  -0.26819729E+01   0.11657122E+01   0.62000559E-01   0.66648851E+00   0.66655164E+00
   0.8581   0.82001165E+00  -0.27426610E+01   0.11780730E+01   0.56531375E-01   0.66651307E+00   0.66657059E+00
   0.8076   0.83253532E+00  -0.28025333E+01   0.11009852E+01   0.50398076E-01   0.66654483E+00   0.66658847E+00
   0.7571   0.84441693E+00  -0.28604047E+01   0.10935754E+01   0.46028114E-01   0.66656456E+00   0.66660156E+00
   0.7066   0.85611954E+00  -0.29178764E+01   0.10978603E+01   0.41835547E-01   0.66658094E+00   0.66661296E+00
   0.6561   0.86745513E+00  -0.29748492E+01   0.11471419E+01   0.40461231E-01   0.66659232E+00   0.66661967E+00
   0.6056   0.87899131E+00  -0.30318114E+01   0.11329219E+01   0.36195716E-01   0.66660645E+00   0.66662887E+00
   0.5551   0.88998482E+00  -0.30873929E+01   0.10397520E+01   0.31444196E-01   0.66662189E+00   0.66663731E+00
   0.5045   0.90067737E+00  -0.31416215E+01   0.10734844E+01   0.28204806E-01   0.66662976E+00   0.66664329E+00
   0.4540   0.91151900E+00  -0.31968661E+01   0.11503514E+01   0.26055425E-01   0.66663574E+00   0.66664769E+00
   0.4035   0.92181274E+00  -0.32504737E+01   0.10094840E+01   0.20756934E-01   0.66664592E+00   0.66665353E+00
   0.3530   0.93220757E+00  -0.33037153E+01   0.10346191E+01   0.17912361E-01   0.66665092E+00   0.66665697E+00
   0.3025   0.94229799E+00  -0.33565113E+01   0.10203417E+01   0.15123672E-01   0.66665562E+00   0.66665980E+00
   0.2520   0.95212220E+00  -0.34088979E+01   0.95379790E+00   0.12069769E-01   0.66665972E+00   0.66666219E+00
   0.2015   0.96210326E+00  -0.34614102E+01   0.10653250E+01   0.10756488E-01   0.66666185E+00   0.66666355E+00
   0.1510   0.97170793E+00  -0.35131286E+01   0.11008883E+01   0.82319757E-02   0.66666395E+00   0.66666491E+00
   0.1005   0.98136055E+00  -0.35645483E+01   0.10879019E+01   0.51491121E-02   0.66666551E+00   0.66666595E+00
   0.0500   0.99075773E+00  -0.36153339E+01   0.94701329E+00   0.21958580E-02   0.66666643E+00   0.66666652E+00
